../data/Mozart1/Mozart1.musi,data
59," [[0.68, 0.0, 0.04, 0.0, 0.04, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.33, 0.0, 0.0, 0.0, 0.17, 0.08, 0.0, 0.25, 0.0, 0.08, 0.0, 0.08], [0.17, 0.0, 0.08, 0.0, 0.29, 0.0, 0.0, 0.38, 0.0, 0.04, 0.0, 0.04]]"
60," [[0.22, 0.0, 0.0, 0.0, 0.11, 0.03, 0.0, 0.64, 0.0, 0.0, 0.0, 0.0], [0.38, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0], [0.08, 0.0, 0.08, 0.0, 0.11, 0.06, 0.0, 0.61, 0.0, 0.0, 0.0, 0.06]]"
61," [[0.58, 0.0, 0.04, 0.0, 0.1, 0.0, 0.0, 0.17, 0.0, 0.0, 0.0, 0.12], [0.16, 0.0, 0.0, 0.0, 0.03, 0.0, 0.0, 0.19, 0.0, 0.56, 0.0, 0.06]]"
62," [[0.03, 0.0, 0.0, 0.0, 0.19, 0.56, 0.0, 0.06, 0.0, 0.16, 0.0, 0.0], [0.23, 0.0, 0.31, 0.0, 0.08, 0.08, 0.0, 0.0, 0.0, 0.15, 0.0, 0.15]]"
63," [[0.04, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.62, 0.0, 0.12, 0.0, 0.17], [0.19, 0.0, 0.19, 0.0, 0.25, 0.06, 0.19, 0.06, 0.0, 0.06, 0.0, 0.0]]"
64," [[0.02, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.27, 0.0, 0.29], [0.23, 0.0, 0.23, 0.0, 0.25, 0.02, 0.23, 0.02, 0.0, 0.02, 0.0, 0.0]]"
65," [[0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.02, 0.7, 0.0, 0.0, 0.0, 0.14]]"
66," [[0.0, 0.0, 0.27, 0.0, 0.0, 0.0, 0.01, 0.44, 0.0, 0.0, 0.0, 0.27]]"
67," [[0.05, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.03, 0.0, 0.12]]"
68," [[0.0, 0.0, 0.29, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.21], [0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.5], [0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.06, 0.0, 0.31]]"
69," [[0.08, 0.0, 0.0, 0.0, 0.58, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.38, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0]]"
70," [[0.0, 0.0, 0.56, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.11], [0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.56, 0.0, 0.0, 0.0, 0.11], [0.17, 0.0, 0.17, 0.0, 0.06, 0.0, 0.06, 0.06, 0.0, 0.44, 0.0, 0.06]]"
71," [[0.0, 0.0, 0.22, 0.0, 0.0, 0.0, 0.0, 0.39, 0.0, 0.0, 0.0, 0.39], [0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25], [0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.38]]"
72," [[0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.12], [0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25], [0.06, 0.0, 0.38, 0.0, 0.06, 0.0, 0.0, 0.25, 0.0, 0.06, 0.0, 0.19]]"
73," [[0.08, 0.0, 0.0, 0.0, 0.58, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.12, 0.0, 0.0, 0.0, 0.44, 0.0, 0.12, 0.31, 0.0, 0.0, 0.0, 0.0]]"
74," [[0.0, 0.0, 0.56, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.11], [0.11, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.22, 0.0, 0.11, 0.0, 0.22], [0.17, 0.0, 0.17, 0.0, 0.06, 0.0, 0.06, 0.06, 0.0, 0.44, 0.0, 0.06]]"
75," [[0.02, 0.0, 0.11, 0.0, 0.02, 0.0, 0.02, 0.66, 0.0, 0.02, 0.0, 0.14], [0.04, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.38]]"
76," [[0.33, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.11, 0.0, 0.17, 0.0, 0.06], [0.17, 0.17, 0.0, 0.0, 0.33, 0.0, 0.04, 0.12, 0.0, 0.12, 0.0, 0.04]]"
77," [[0.14, 0.0, 0.4, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.14, 0.0, 0.0], [0.13, 0.0, 0.33, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.33, 0.0, 0.0], [0.06, 0.0, 0.25, 0.0, 0.0, 0.0, 0.41, 0.0, 0.0, 0.28, 0.0, 0.0]]"
78," [[0.27, 0.0, 0.24, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.15, 0.0, 0.0], [0.13, 0.0, 0.2, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.47, 0.0, 0.0], [0.18, 0.0, 0.29, 0.0, 0.0, 0.0, 0.32, 0.0, 0.0, 0.21, 0.0, 0.0]]"
79," [[0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0, 0.47, 0.0, 0.0, 0.0, 0.2], [0.08, 0.0, 0.06, 0.0, 0.0, 0.0, 0.06, 0.42, 0.0, 0.14, 0.0, 0.25], [0.0, 0.0, 0.42, 0.0, 0.0, 0.0, 0.0, 0.13, 0.0, 0.0, 0.0, 0.45]]"
80," [[0.04, 0.0, 0.1, 0.0, 0.0, 0.0, 0.03, 0.47, 0.0, 0.06, 0.0, 0.29], [0.0, 0.0, 0.23, 0.0, 0.0, 0.0, 0.0, 0.39, 0.0, 0.0, 0.0, 0.39]]"
81," [[0.12, 0.0, 0.51, 0.0, 0.0, 0.0, 0.16, 0.0, 0.0, 0.02, 0.0, 0.19], [0.19, 0.0, 0.31, 0.0, 0.0, 0.0, 0.19, 0.0, 0.0, 0.31, 0.0, 0.0], [0.06, 0.0, 0.24, 0.0, 0.0, 0.0, 0.41, 0.0, 0.0, 0.29, 0.0, 0.0]]"
82," [[0.27, 0.0, 0.24, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.15, 0.0, 0.0], [0.11, 0.0, 0.37, 0.0, 0.0, 0.0, 0.16, 0.0, 0.0, 0.37, 0.0, 0.0], [0.17, 0.0, 0.25, 0.0, 0.03, 0.0, 0.3, 0.03, 0.0, 0.17, 0.0, 0.05]]"
