bar number142;[0, 1, 2, 1, 0, 0, 0, 0];;;;
bar number143;[0, 0, 1, 0, 1, 1, 0, 0];;;;
bar number144;[0, 2, 1, 1, 0, 1, 0, 0];;;;
bar number145;[0, 1, 2, 0, 1, 1, 0, 0];;;;
bar number146;[0, 2, 1, 3, 1, 1, 1, 0];;;;
bar number147;[0, 1, 1, 1, 2, 2, 0, 0];;;;
bar number148;[0, 1, 1, 1, 1, 2, 0, 0];;;;
bar number149;[0, 1, 1, 1, 1, 2, 0, 0];;;;
bar number150;[0, 2, 1, 1, 0, 1, 0, 0];;;;
bar number151;[0, 1, 1, 1, 1, 0, 0, 0];;;;
bar number152;[2, 0, 1, 1, 1, 1, 0, 0];;;;
bar number153;[1, 0, 0, 3, 0, 1, 0, 0];;;;
bar number154;[0, 1, 0, 3, 0, 1, 1, 1];;;;
bar number155;[0, 1, 3, 0, 0, 1, 1, 0];;;;
bar number156;[1, 0, 1, 0, 0, 2, 1, 0];;;;
bar number157;[0, 1, 0, 1, 0, 1, 1, 1];;;;
bar number158;[1, 1, 1, 1, 2, 0, 1, 0];;;;
bar number159;[1, 1, 0, 1, 3, 0, 0, 0];;;;
bar number160;[1, 1, 1, 1, 1, 0, 1, 0];;;;
bar number161;[1, 1, 0, 1, 3, 0, 0, 0];;;;
bar number162;[0, 1, 1, 1, 1, 1, 1, 1];;;;
bar number163;[0, 1, 1, 1, 1, 1, 1, 1];;;;
bar number164;[1, 0, 0, 0, 1, 1, 1, 0];;;;
bar number165;[1, 1, 0, 0, 1, 1, 1, 0];V;;;
bar number166;[1, 1, 1, 0, 2, 0, 1, 0];V;;;
bar number167;[0, 1, 1, 1, 3, 1, 0, 0];V;;;
bar number168;[1, 1, 0, 1, 2, 1, 1, 0];I;;;
bar number169;[2, 0, 2, 0, 2, 0, 0, 0];I;;;
bar number170;[2, 0, 1, 0, 1, 0, 0, 0];I;;;
bar number171;[2, 0, 0, 0, 0, 0, 1, 0];;;;
bar number172;[0, 3, 0, 0, 0, 0, 0, 0];;;;
bar number173;[0, 0, 3, 0, 0, 0, 0, 0];;;;
bar number174;[0, 0, 0, 1, 1, 1, 1, 0];;;;
bar number175;[1, 1, 1, 1, 1, 0, 1, 0];I;V;I;
bar number176;[0, 2, 0, 0, 2, 0, 1, 0];V;;;
bar number177;[1, 0, 2, 0, 2, 0, 1, 0];I;;;
bar number178;[1, 1, 1, 1, 1, 2, 1, 0];III;I;IV;VII
bar number179;[2, 1, 1, 0, 1, 0, 1, 0];I;;;
bar number180;[1, 1, 1, 1, 2, 1, 1, 0];V;;;
bar number181;[2, 1, 1, 0, 1, 0, 1, 0];I;;;
bar number182;[1, 1, 1, 1, 2, 1, 1, 0];V;;;
bar number183;[2, 1, 1, 0, 1, 2, 1, 0];I;VI;;
bar number184;[1, 1, 1, 2, 1, 1, 1, 0];IV;;;
bar number185;[1, 1, 1, 1, 2, 1, 1, 0];;;;
bar number186;[1, 1, 1, 1, 1, 1, 1, 0];;;;
bar number187;[0, 1, 0, 0, 2, 0, 1, 0];;;;
bar number188;[0, 1, 0, 0, 2, 0, 1, 0];;;;
bar number189;[0, 1, 1, 1, 2, 0, 0, 0];;;;
bar number190;[1, 1, 1, 0, 1, 1, 0, 0];I;;;
bar number191;[1, 0, 0, 1, 0, 2, 1, 0];IV;;;
bar number192;[1, 1, 1, 1, 1, 1, 1, 0];I;VI;II;V
bar number193;[1, 0, 1, 0, 1, 0, 0, 0];I;;;
bar number194;[1, 1, 1, 1, 2, 1, 0, 0];I;;;
bar number195;[2, 1, 1, 1, 1, 1, 1, 0];IV;;;
bar number196;[1, 1, 1, 1, 1, 1, 1, 0];I;VI;II;V
bar number197;[2, 1, 1, 0, 1, 0, 1, 0];I;X;;
bar number198;[1, 0, 2, 0, 1, 2, 0, 0];VI;X;;
bar number199;[1, 0, 1, 2, 1, 1, 0, 0];IV;X;;
bar number200;[1, 1, 1, 1, 1, 1, 1, 0];II;X;II;X
bar number201;[0, 1, 0, 1, 1, 0, 1, 0];V;;;
bar number202;[0, 1, 0, 1, 1, 0, 1, 0];V;;;
bar number203;[2, 1, 1, 1, 1, 0, 1, 0];I;;;
bar number204;[1, 1, 1, 1, 1, 0, 1, 0];I;;;
bar number205;[0, 2, 0, 1, 2, 0, 2, 0];V;;;
bar number206;[1, 2, 1, 2, 2, 1, 2, 0];V;;;
bar number207;[2, 1, 2, 1, 1, 1, 1, 0];I;;;
bar number208;[2, 1, 3, 1, 1, 0, 1, 0];I;;;
bar number209;[2, 1, 2, 1, 2, 0, 1, 0];V;I;;
bar number210;[2, 2, 2, 1, 2, 0, 1, 0];V;I;;
bar number211;[0, 1, 0, 0, 3, 0, 1, 0];V;;;
bar number212;[3, 0, 1, 0, 1, 0, 0, 0];V;;;
bar number213;[0, 1, 0, 1, 3, 1, 0, 0];V;;;
bar number214;[1, 0, 1, 1, 1, 1, 1, 0];I;I;;
bar number215;[1, 2, 1, 1, 1, 1, 1, 0];V;V;;
bar number216;[1, 0, 2, 1, 1, 1, 1, 0];I;I;;
bar number217;[1, 2, 1, 1, 1, 1, 1, 0];V;V;;
bar number218;[3, 0, 1, 1, 1, 1, 0, 0];X;;;
bar number219;[3, 1, 1, 1, 1, 1, 0, 0];;;;
bar number220;[3, 0, 1, 0, 1, 1, 0, 0];;;;
bar number221;[2, 0, 1, 1, 1, 1, 1, 0];IV;I;;
bar number222;[2, 0, 1, 1, 1, 1, 1, 0];IV;I;;
bar number223;[1, 2, 1, 1, 1, 1, 1, 0];II;V;;
bar number224;[2, 1, 1, 1, 1, 1, 1, 0];I;VI;;
bar number225;[1, 1, 1, 2, 1, 1, 1, 0];II;V;V;
bar number226;[1, 1, 1, 1, 2, 1, 1, 0];I;V;;
bar number227;[1, 1, 1, 2, 1, 1, 1, 0];V;;;
bar number228;[1, 1, 1, 1, 1, 1, 1, 0];I;;;
bar number229;[1, 1, 1, 2, 1, 1, 1, 0];;;;
bar number230;[1, 1, 1, 1, 1, 1, 0, 0];;;;
bar number231;[1, 1, 1, 1, 2, 0, 1, 0];;;;
bar number232;[1, 1, 1, 1, 2, 0, 0, 0];;;;
bar number233;[1, 1, 1, 1, 1, 1, 1, 0];;;;
bar number234;[1, 1, 1, 1, 1, 1, 1, 0];;;;
bar number235;[1, 1, 1, 1, 2, 0, 1, 0];;;;
bar number236;[1, 1, 1, 1, 2, 0, 1, 0];;;;
bar number237;[1, 1, 1, 1, 2, 1, 1, 0];;;;
bar number238;[1, 1, 1, 1, 1, 1, 0, 0];;;;
bar number239;[1, 1, 1, 1, 2, 0, 1, 0];;;;
bar number240;[1, 1, 2, 2, 2, 1, 1, 0];;;;
bar number241;[1, 1, 2, 1, 3, 1, 1, 0];;;;
bar number242;[0, 2, 0, 1, 3, 1, 1, 0];;;;
bar number243;[3, 0, 1, 0, 1, 0, 0, 0];;;;
bar number244;[3, 0, 2, 0, 2, 0, 0, 0];;;;
bar number245;[2, 1, 2, 0, 1, 1, 1, 0];;;;
bar number246;[2, 1, 1, 2, 1, 2, 0, 0];;;;
bar number247;[1, 1, 1, 1, 1, 1, 1, 0];II;X;II;X
bar number248;[2, 2, 2, 1, 3, 0, 1, 0];V;I;;
bar number249;[2, 2, 2, 1, 2, 0, 1, 0];V;I;;
bar number250;[1, 1, 1, 0, 1, 1, 1, 0];V;;;
bar number251;[3, 0, 1, 1, 1, 1, 1, 0];I;;;
bar number252;[3, 1, 1, 1, 1, 1, 0, 0];I;;;
bar number253;[3, 1, 1, 1, 1, 1, 1, 0];IV;;;
bar number254;[3, 1, 2, 1, 1, 0, 1, 0];I;;;
bar number255;[0, 3, 0, 2, 2, 0, 1, 0];V;;;
bar number256;[3, 0, 3, 0, 1, 1, 0, 0];I;VI;;
bar number257;[1, 2, 1, 2, 1, 1, 1, 0];I;V;V;
bar number258;[3, 1, 1, 1, 1, 1, 1, 0];I;VI;;
bar number259;[2, 1, 2, 1, 3, 1, 1, 0];V;V;;
bar number260;[3, 0, 2, 0, 1, 1, 1, 0];I;;;
bar number261;[2, 0, 3, 0, 2, 1, 1, 0];I;;;
bar number262;[3, 0, 2, 0, 1, 0, 0, 0];I;;;
bar number263;[3, 0, 2, 0, 2, 0, 0, 0];I;;;
bar number264;[3, 0, 3, 0, 2, 0, 0, 0];I;;;
bar number265;[1, 0, 1, 0, 1, 0, 0, 0];I;;;
