C,,
V,"['D', 'F', 'A']","['D', 'F', 'A', 'C']"
V+,"['D', 'F#', 'A']","['D', 'F#', 'A', 'C']"
VI,"['Eb', 'G', 'Bb']","['Eb', 'G', 'Bb', 'D']"
GVI,"['Eb', 'G', 'Bb', 'C#']",
FVI,"['Eb', 'G', 'A', 'C#']",
ItVI,"['Eb', 'G', 'C#']",
VII,"['F', 'A', 'C']","['F', 'A', 'C', 'Eb']"
DVII,,"['F#', 'A', 'C', 'Eb']"
a,,
I,"['A', 'C', 'E']","['A', 'C', 'E', 'G']"
I+,"['A', 'C#', 'E']",
bII,"['Bb', 'D', 'F']",
II,"['B', 'D', 'F']","['B', 'D', 'F', 'A']"
III,"['C', 'E', 'G']","['C', 'E', 'G', 'B']"
IV,"['D', 'F', 'A']","['D', 'F', 'A', 'C']"
IV+,"['D', 'F#', 'A']",
V,"['E', 'G', 'B']","['E', 'G', 'B', 'D']"
V+,"['E', 'G#', 'B']","['E', 'G#', 'B', 'D']"
VI,"['F', 'A', 'C']","['F', 'A', 'C', 'E']"
GVI,"['F', 'A', 'C', 'D#']",
FVI,"['F', 'A', 'B', 'D#']",
ItVI,"['F', 'A', 'D#']",
VII,"['G', 'B', 'D']","['G', 'B', 'D', 'F']"
DVII,,"['G#', 'B', 'D', 'F']"
b,,
I,"['B', 'D', 'F#']","['B', 'D', 'F#', 'A']"
I+,"['B', 'D#', 'F#']",
bII,"['C', 'E', 'G']",
II,"['C#', 'E', 'G']","['C#', 'E', 'G', 'B']"
III,"['D', 'F#', 'A']","['D', 'F#', 'A', 'C#']"
IV,"['E', 'G', 'B']","['E', 'G', 'B', 'D']"
IV+,"['E', 'G#', 'B']",
V,"['F#', 'A', 'C#']","['F#', 'A', 'C#', 'E']"
V+,"['F#', 'A#', 'C#']","['F#', 'A#', 'C#', 'E']"
VI,"['G', 'B', 'D']","['G', 'B', 'D', 'F#']"
GVI,"['G', 'B', 'D', 'E#']",
FVI,"['G', 'B', 'C#', 'E#']",
ItVI,"['G', 'B', 'E#']",
VII,"['A', 'C#', 'E']","['A', 'C#', 'E', 'G']"
DVII,,"['A#', 'C#', 'E', 'G']"
