../data/Mozart2/Mozart;data;Chord;;;
33; [[0.62, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.1, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;V7;;
34; [[0.33, 0.0, 0.07, 0.33, 0.0, 0.07, 0.0, 0.07, 0.0, 0.07, 0.0, 0.07], [0.55, 0.0, 0.09, 0.09, 0.0, 0.0, 0.0, 0.09, 0.0, 0.09, 0.09, 0.0]];I;I;;
35; [[0.09, 0.0, 0.09, 0.09, 0.0, 0.09, 0.0, 0.09, 0.0, 0.09, 0.0, 0.45], [0.09, 0.0, 0.45, 0.0, 0.0, 0.09, 0.0, 0.09, 0.09, 0.0, 0.0, 0.18]];V;;;
36; [[0.18, 0.0, 0.09, 0.45, 0.0, 0.09, 0.0, 0.09, 0.0, 0.0, 0.09, 0.0], [0.09, 0.0, 0.0, 0.09, 0.0, 0.18, 0.0, 0.09, 0.45, 0.0, 0.09, 0.0]];I;IV;;
37; [[0.09, 0.0, 0.45, 0.09, 0.0, 0.09, 0.0, 0.0, 0.09, 0.0, 0.18, 0.0], [0.0, 0.0, 0.09, 0.18, 0.0, 0.09, 0.0, 0.45, 0.09, 0.0, 0.09, 0.0]];VII6;III;;
38; [[0.45, 0.0, 0.09, 0.09, 0.0, 0.0, 0.0, 0.09, 0.18, 0.0, 0.09, 0.0], [0.09, 0.0, 0.18, 0.09, 0.0, 0.45, 0.0, 0.09, 0.09, 0.0, 0.0, 0.0]];Vi;II;;
39; [[0.09, 0.0, 0.09, 0.0, 0.0, 0.09, 0.0, 0.18, 0.09, 0.0, 0.0, 0.45], [0.18, 0.0, 0.09, 0.45, 0.0, 0.0, 0.0, 0.09, 0.09, 0.0, 0.09, 0.0]];V;I;;
40; [[0.07, 0.0, 0.07, 0.0, 0.07, 0.13, 0.0, 0.07, 0.0, 0.6, 0.0, 0.0], [0.03, 0.0, 0.28, 0.0, 0.03, 0.28, 0.0, 0.28, 0.0, 0.03, 0.0, 0.06]];II;V7;;
41; [[0.62, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.12, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]];I;;;
42; [[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.5], [0.12, 0.0, 0.12, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25], [0.5, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]];V34;I;;
