../data/Mozart2/Mozart,data
60," [[0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.38], [0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.19, 0.0, 0.31]]"
61," [[0.11, 0.0, 0.3, 0.0, 0.0, 0.0, 0.19, 0.17, 0.0, 0.13, 0.0, 0.11]]"
62," [[0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.14], [0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.71], [0.36, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0]]"
63," [[0.71, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.14, 0.0, 0.0], [0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.71, 0.0, 0.0], [0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.36]]"
64," [[0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.71], [0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 0.14], [0.5, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.36, 0.0, 0.0]]"
65," [[0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.71, 0.0, 0.0], [0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.71, 0.0, 0.0, 0.14, 0.0, 0.0], [0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.43, 0.0, 0.0, 0.0, 0.43]]"
66," [[0.3, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0], [0.33, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.08, 0.25, 0.0, 0.0]]"
67," [[0.0, 0.23, 0.0, 0.0, 0.31, 0.0, 0.0, 0.23, 0.0, 0.0, 0.23, 0.0], [0.0, 0.25, 0.0, 0.06, 0.19, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0]]"
68," [[0.0, 0.0, 0.38, 0.0, 0.12, 0.0, 0.12, 0.12, 0.0, 0.0, 0.0, 0.25], [0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.38], [0.06, 0.0, 0.19, 0.0, 0.06, 0.0, 0.06, 0.25, 0.0, 0.06, 0.0, 0.31]]"
69," [[0.17, 0.0, 0.08, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0, 0.5, 0.0, 0.17], [0.25, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.25, 0.0, 0.25], [0.25, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12, 0.03, 0.0, 0.25, 0.0, 0.22]]"
70," [[0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.31], [0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05, 0.05, 0.0, 0.3, 0.0, 0.1]]"
71," [[0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.31], [0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05, 0.05, 0.0, 0.3, 0.0, 0.1]]"
