bar number130,"[0, 1, 1, 0, 3, 0, 1]",,,,
bar number131,"[2, 2, 2, 0, 0, 0, 0]",,,,
bar number132,"[1, 0, 0, 0, 0, 1, 3]",,,,
bar number133,"[0, 1, 2, 1, 0, 0, 2]",,,,
bar number134,"[1, 0, 2, 0, 0, 2, 0]",,,,
bar number135,"[0, 2, 2, 0, 0, 0, 2]",,,,
bar number136,"[2, 0, 2, 0, 0, 2, 0]",,,,
bar number137,"[0, 2, 2, 0, 0, 1, 2]",,,,
bar number138,"[2, 0, 2, 0, 0, 2, 1]",,,,
bar number139,"[0, 2, 2, 1, 0, 0, 1]",,,,
bar number140,"[2, 0, 1, 0, 0, 2, 1]",,,,
bar number141,"[0, 0, 0, 2, 2, 2, 0]",,,,
bar number142,"[0, 1, 3, 1, 0, 0, 0]",,,,
bar number143,"[0, 0, 2, 0, 1, 2, 0]",,,,
bar number144,"[0, 2, 1, 1, 0, 2, 0]",,,,
bar number145,"[0, 1, 3, 0, 1, 1, 0]",,,,
bar number146,"[0, 2, 1, 2, 0, 1, 0]",,,,
bar number147,"[0, 1, 1, 0, 2, 2, 0]",,,,
bar number148,"[0, 2, 1, 1, 0, 2, 0]",,,,
bar number149,"[0, 1, 0, 1, 1, 2, 0]",,,,
bar number150,"[0, 3, 1, 2, 0, 1, 0]",,,,
bar number151,"[0, 2, 2, 1, 2, 0, 0]",,,,
bar number152,"[3, 0, 1, 0, 2, 1, 0]",,,,
bar number153,"[1, 0, 0, 3, 0, 1, 0]",,,,
bar number154,"[1, 0, 0, 3, 0, 1, 1]",,,,
bar number155,"[0, 1, 3, 0, 0, 1, 1]",,,,
bar number156,"[2, 0, 1, 0, 0, 3, 1]",,,,
bar number157,"[1, 2, 0, 0, 0, 2, 2]",,,,
bar number158,"[0, 1, 0, 1, 2, 0, 1]",,,,
bar number159,"[1, 1, 0, 1, 3, 0, 0]",,,,
bar number160,"[0, 1, 0, 1, 2, 0, 1]",,,,
bar number161,"[1, 1, 0, 1, 3, 0, 0]",,,,
bar number162,"[1, 1, 0, 0, 2, 0, 2]",,,,
bar number163,"[1, 1, 0, 0, 2, 0, 1]",,,,
bar number164,"[2, 0, 0, 0, 2, 1, 1]",,,,
bar number165,"[2, 1, 0, 0, 3, 0, 1]",V7,,,
bar number166,"[0, 1, 1, 0, 3, 0, 1]",V,,,
bar number167,"[0, 1, 1, 1, 3, 0, 0]",V,,,
bar number168,"[0, 0, 0, 1, 3, 1, 1]",I,,,
bar number169,"[2, 0, 2, 0, 2, 0, 0]",I,,,
bar number170,"[2, 0, 1, 0, 1, 0, 0]",I,,,
bar number171,"[3, 0, 0, 0, 0, 0, 1]",,,,
